mcl(2)Z3534	FBgn0069177
T:SS-boss	FBgn0264080
Cbl::drk	FBgn0263129
kermit	FBgn0010504
D2	FBgn0020495
su(RpII140[Z36])S2	FBgn0025127
l(2)SH1140	FBgn0065518
CG41249	FBgn0085575
l(1)HM3	FBgn0001735
CG18662	FBgn0040963
l(3)j7C3	FBgn0011403
CG33296	FBgn0053296
CG6290	FBgn0030921
fs(2)E3	FBgn0000956
Liprin-alpha	FBgn0046704
CG5412	FBgn0038806
CG10086	FBgn0037517
Taf7	FBgn0024909
l(2)31Fa	FBgn0014239
CG5550	FBgn0034160
CG11459	FBgn0037396
CR44583	FBgn0265794
CG9821	FBgn0037636
tRNA:Glu-CTC-3-2	FBgn0052328
CR44277	FBgn0265304
ota7	FBgn0003020
CG5623	FBgn0038357
CG32026	FBgn0052026
l(2)42Bb	FBgn0019701
CG41522	FBgn0085667
GSd309	FBgn0260370
ird8	FBgn0024220
l(3)65ACe	FBgn0015495
CheA46a	FBgn0262594
Sbp2	FBgn0087039
anon-49Da	FBgn0026302
DJ913	FBgn0261716
Hrp70	FBgn0016668
CG6179	FBgn0030915
hella	FBgn0083088
NetB	FBgn0015774
crle	FBgn0045860
Fnta	FBgn0031633
CR44279	FBgn0265306
Trp1	FBgn0011584
l(3)93Fb	FBgn0002395
CG13972	FBgn0039522
CR43489	FBgn0263500
CG16836	FBgn0040735
Sidpn	FBgn0032741
ckn	FBgn0033987
CG41051	FBgn0069961
Ras64B	FBgn0003206
CG30392	FBgn0050392
spin	FBgn0086676
l(2)37CDd	FBgn0015459
Tsp42Eq	FBgn0033138
zormin	FBgn0052311
Cyp4aa1	FBgn0034053
S(ls)1	FBgn0086201
Spn42Da	FBgn0265137
CG31395	FBgn0051395
l(2)k07526	FBgn0022081
l(3)j8B6	FBgn0011409
CG14835	FBgn0035782
me31B	FBgn0004419
dimm	FBgn0023091
CG33223	FBgn0053223
dlv	FBgn0000470
CG32392	FBgn0052392
l(2)SH1230	FBgn0065492
CG34247	FBgn0085276
l(2)k07813	FBgn0024657
CG18368	FBgn0033864
CG33509	FBgn0053509
TfIIFbeta	FBgn0010421
BG01085	FBgn0263956
gre	FBgn0001135
Mst59Db	FBgn0005652
B2037	FBgn0259657
l(1)I33f3-2	FBgn0011616
fs(1)A456	FBgn0000756
fs(2)HO103	FBgn0000976
CG15368	FBgn0030104
l(3)82CDe	FBgn0084058
kappaTry	FBgn0043471
pag	FBgn0259976
CG30447	FBgn0050447
l(2)SH2086	FBgn0065261
Ras85D	FBgn0003205
CG10485	FBgn0261515
CR45509	FBgn0267065
CR45447	FBgn0267003
iab-4-1.s	FBgn0065986
l(2)SH1541	FBgn0065416
EP-708	FBgn0259372
IleRS	FBgn0027086
CG9951	FBgn0036671
CG6696	FBgn0030947
CG43220	FBgn0262856
Su(var)301	FBgn0266061
EP2	FBgn0083241
Cad88C	FBgn0038247
CG15895	FBgn0040919
l(3)80Fj	FBgn0002299
l(2)ry28	FBgn0013530
Su(var)3-9::trx	FBgn0067397
CG10936	FBgn0034253
l(2)T56j7	FBgn0011627
CR42786	FBgn0261857
ms(3)nc14	FBgn0025480
CG17643	FBgn0040043
ttr	FBgn0003871
l(1)DM-3	FBgn0011166
scaf	FBgn0033033
l(1)M46	FBgn0001772
CG34007	FBgn0054007
gl(2L)386-2	FBgn0069227
tur	FBgn0003897
CR44146	FBgn0264995
l(3)mbn2	FBgn0004928
E(var)3-8	FBgn0013254
EndoG	FBgn0033690
Fs(3)Hod	FBgn0001049
CR45611	FBgn0267171
gusC	FBgn0005104
l(2)SH0516	FBgn0065746
l(1)L60.6	FBgn0022302
l(2)SH2067	FBgn0065267
CG31516	FBgn0051516
5SrRNA:CR33421	FBgn0053421
anon-Pen57BC	FBgn0003061
CG9497	FBgn0031800
Ste	FBgn0003523
UQCR-Q	FBgn0036728
CG11226	FBgn0037195
Unc-13-4B	FBgn0266719
l(1)L1	FBgn0016808
CR44940	FBgn0266245
CR46058	FBgn0267725
CR32690	FBgn0052690
CG42587	FBgn0260955
CR46072	FBgn0267741
Drs	FBgn0283461
l(2)SH0997	FBgn0065559
CR43766	FBgn0264266
CR46131	FBgn0267806
B1517	FBgn0259619
Rac1	FBgn0010333
l(1)N17	FBgn0016843
l(1)91-4	FBgn0019737
CG18789	FBgn0042127
CR43440	FBgn0263388
CG6908	FBgn0037936
anon-38C.3	FBgn0046667
Amr	FBgn0010009
ms(2)Fra-38	FBgn0259755
CG9444	FBgn0037730
l(1)M1	FBgn0010125
l(2)SH0473	FBgn0065766
l(3)S008806b	FBgn0061102
CR45241	FBgn0266776
ES1-1	FBgn0024359
CG14419	FBgn0029639
fh	FBgn0030092
CR44900	FBgn0266205
Hrb27C	FBgn0004838
Cdc16	FBgn0025781
l(3)89Bu	FBgn0025770
NimB4	FBgn0028542
dar5	FBgn0259104
l(2)SH0410	FBgn0065800
flrdH	FBgn0000685
obst-H	FBgn0053983
l(3)93Ea	FBgn0027134
CG3626	FBgn0029706
l(2)51Dc	FBgn0004156
Doa	FBgn0265998
CG31437	FBgn0051437
CG32817	FBgn0052817
JhI-21	FBgn0028425
Ccp84Af	FBgn0004778
CG14000	FBgn0031749
l(3)S060711a	FBgn0060778
C891	FBgn0259314
dame	FBgn0011585
gustD	FBgn0004423
CR33294	FBgn0053294
CG42685	FBgn0261571
CR45387	FBgn0266936
CG10939	FBgn0010620
fs(2)OW106	FBgn0005060
anon-10Cd	FBgn0015851
l(3)neo29	FBgn0013629
CG42727	FBgn0261680
Su(er)	FBgn0003558
l(3)S103408	FBgn0028027
CG13337	FBgn0033863
CR44839	FBgn0266102
CR45098	FBgn0266537
htz	FBgn0064180
ddl	FBgn0000423
CG12517	FBgn0032311
CG41245	FBgn0085571
fs(3)A1	FBgn0001010
anon-6C5	FBgn0020330
Mal-A3	FBgn0002571
l(1)Y12	FBgn0005133
CG31921	FBgn0051921
l(1)20Ai	FBgn0023068
EP1595	FBgn0062681
l(3)04069b	FBgn0010832
l(2)SH0727	FBgn0065654
l(2)24Dd	FBgn0001906
RPA3	FBgn0266421
l(1)DC1112	FBgn0005516
Unc-76	FBgn0040395
B0519	FBgn0259603
Poxm	FBgn0003129
CG5762	FBgn0039190
Ir94d	FBgn0259193
tRNA:Glu-TTC-1-3	FBgn0053535
CG14262	FBgn0039503
CG4467	FBgn0039064
l(3)S097301b	FBgn0060558
CG42458	FBgn0259935
ed	FBgn0000547
HSE	FBgn0041631
l(3)S103616	FBgn0028024
CR44892	FBgn0266197
CG31189	FBgn0051189
Lis-1	FBgn0015754
Rgk3	FBgn0085426
CR46226	FBgn0267946
Vha16-3	FBgn0028667
CG11449	FBgn0037162
fs(2)sun	FBgn0004164
tRNA:Lys-CTT-1-2	FBgn0011889
l(3)ry127	FBgn0014318
E(ftz)1815	FBgn0082688
Bpt	FBgn0000209
CG41106	FBgn0069938
Scgdelta	FBgn0025391
qless	FBgn0051005
CG12535	FBgn0029657
CG12575	FBgn0040023
l(3)SG48	FBgn0002488
snmRNA:430:CR33735	FBgn0053735
anon-13Fb	FBgn0023106
CR44687	FBgn0265898
rfr	FBgn0003243
fd19B	FBgn0031086
anon-98EFa	FBgn0016785
l(2)hemo	FBgn0069194
CG41516	FBgn0084047
RpS19a	FBgn0010412
l(3)SG30	FBgn0002475
CR45468	FBgn0267024
hog	FBgn0266710
mir-309	FBgn0262380
HtrA2	FBgn0038233
CG31606	FBgn0051606
CG14253	FBgn0039467
sw	FBgn0003654
l(2)SH1683	FBgn0065375
Roc1a	FBgn0025638
l(3)S083502b	FBgn0060650
anon-38E.5	FBgn0046631
CG5285	FBgn0038490
rover\\env	FBgn0061484
liquid-filled	FBgn0264649
Acf	FBgn0027620
CR43764	FBgn0264264
CG15890	FBgn0030576
CG18528	FBgn0039189
TAHRE\\pol	FBgn0069341
Karybeta3	FBgn0087013
CG4293	FBgn0024983
CG11035	FBgn0037544
NPFR	FBgn0037408
E(rst)J76	FBgn0044072
B1512	FBgn0259551
CG12631	FBgn0040018
1688-10Ea	FBgn0004951
CG7203	FBgn0031942
C367	FBgn0259354
CR44512	FBgn0265705
peng	FBgn0015527
CG5062	FBgn0029747
Chmp1	FBgn0036805
fs(1)ne6	FBgn0005053
CR45698	FBgn0267262
fs(3)A11	FBgn0001020
fs(1)5e	FBgn0000729
Ssl2	FBgn0041780
fat-spondin	FBgn0026721
GSd232	FBgn0260297
CR44621	FBgn0265832
CG13043	FBgn0036600
l(1)10Bt	FBgn0017393
l(3)S100305	FBgn0060539
CG10132	FBgn0032798
CG4661	FBgn0030429
Scim23	FBgn0044404
CysRS	FBgn0027091
CG1275	FBgn0035321
CG43169	FBgn0262788
mt:ND4	FBgn0262952
CG7655	FBgn0038536
CG31609	FBgn0051609
s(3)4B	FBgn0063779
l(3)F34	FBgn0002428
Tabp	FBgn0024281
l(2)37Ab	FBgn0002018
CG4552	FBgn0031304
RpL36A	FBgn0031980
Taf13	FBgn0032847
GG01156	FBgn0259545
l(2)37Ac	FBgn0002019
C403	FBgn0259390
CR45303	FBgn0266841
BCL7-like	FBgn0026149
milt	FBgn0262872
CG10300	FBgn0039107
CR44365	FBgn0265496
olf186-M	FBgn0015522
CG12538	FBgn0038157
mt:tRNA:Ser-TGA	FBgn0013706
l(2)56CDa	FBgn0027192
Nab2	FBgn0028471
fs(1)A321	FBgn0000746
sgg	FBgn0003371
Tsp42Ej	FBgn0033132
tRNA:Phe-GAA-1-4	FBgn0050333
drw	FBgn0000496
CG15281	FBgn0028536
mt:tRNA:Cys-GCA	FBgn0013690
CG5455	FBgn0039430
l(3)S026821	FBgn0061001
l(1)ESHS3	FBgn0001682
Ptr	FBgn0262867
CR44979	FBgn0266314
l(1)27	FBgn0019781
l(3)S045230	FBgn0028147
l(1)1Ef	FBgn0001351
l(3)03076	FBgn0010792
trk	FBgn0003751
fs(2)A17	FBgn0000947
D40	FBgn0263894
P58IPK	FBgn0037718
CG42649	FBgn0261501
CG8303	FBgn0034143
CG44477	FBgn0265670
5SrRNA:CR33366	FBgn0053366
Mst84Dc	FBgn0004174
CG15517	FBgn0039718
l(2)SH1108	FBgn0065531
Ir60d	FBgn0259187
l(2)SH1314	FBgn0065474
Jon99Ci	FBgn0003358
pskl	FBgn0026187
CG41278	FBgn0085594
CG32551	FBgn0052551
CR31824	FBgn0051824
ND-B14.7	FBgn0034576
CG30358	FBgn0050358
AQP	FBgn0033807
Imp	FBgn0262735
CG43921	FBgn0264542
CR43987	FBgn0264719
E(var)125	FBgn0013227
CG17167	FBgn0039941
scra	FBgn0261385
CG18822	FBgn0042145
anon-38C.30	FBgn0046666
snoRNA:Psi28S-1175a	FBgn0083005
Phox	FBgn0261374
l(1)TK103	FBgn0005700
CR44642	FBgn0265853
COX5A	FBgn0019624
l(2)k09202	FBgn0022010
l(2)42Fa	FBgn0043026
Nxf3	FBgn0263232
CG13196	FBgn0033645
HDAC11	FBgn0051119
l(2)k07005	FBgn0022108
l(3)71CDa	FBgn0027149
Outburst	FBgn0082642
l(2)Sp1	FBgn0002160
CR45627	FBgn0267187
l(3)psg19	FBgn0277422
5SrRNA:CR33449	FBgn0053449
Fife	FBgn0264606
CG9626	FBgn0037565
raw	FBgn0003209
anon-56Ca	FBgn0023467
Ugt86Dj	FBgn0040250
l(3)51	FBgn0066355
prominin-like	FBgn0026189
CG11581	FBgn0030540
CG33798	FBgn0053798
Ars-region13	FBgn0004078
ms(2)ry5	FBgn0013649
chb	FBgn0021760
CG2608	FBgn0032870
l(3)S068016	FBgn0060725
mat(3)1	FBgn0002683
CR43417	FBgn0263336
CG7810	FBgn0032017
l(3)S065303	FBgn0060747
Usf	FBgn0029711
l(2)SH0100	FBgn0065947
mib	FBgn0002744
Rtnl2	FBgn0015831
CG15153	FBgn0032663
EP-738	FBgn0259474
Lrch	FBgn0032633
CR45393	FBgn0266942
pil3	FBgn0005331
l(2)38Dc	FBgn0025173
CG15882	FBgn0030983
CG4306	FBgn0036787
l(2)45Ah	FBgn0041128
CG40128	FBgn0058128
wun2	FBgn0041087
CG41421	FBgn0085643
l(1)carot5	FBgn0001588
CR43794	FBgn0264338
CR44732	FBgn0265945
l(1)C	FBgn0001582
l(2)Stn	FBgn0005176
CR41617	FBgn0085823
CR46180	FBgn0267892
rdgBbeta	FBgn0027872
CG17321	FBgn0032719
tre-2	FBgn0084688
M(2)105	FBgn0015253
CG17570	FBgn0260000
shf::Drer\\wif1	FBgn0264559
CR45432	FBgn0266981
CG33169	FBgn0053169
B0511	FBgn0259526
rictor	FBgn0031006
CG34435	FBgn0085464
CR14310	FBgn0040569
CG15308	FBgn0040941
snoRNA:CG43051-a	FBgn0263458
CG8509	FBgn0030696
GSd428	FBgn0260352
l(3)85De	FBgn0004738
E(Dl)F10	FBgn0010025
alpha-Est4	FBgn0015572
fs(1)1867	FBgn0000735
mGluR	FBgn0019985
CG3078	FBgn0023524
CR44280	FBgn0265307
Neurodegeneration-9	FBgn0063903
Arp2	FBgn0011742
l(2)60Ad	FBgn0014251
Peritrophin-15b	FBgn0040958
ke	FBgn0001300
az2	FBgn0025185
CG13700	FBgn0036785
CG12061	FBgn0040031
CG16885	FBgn0032538
CG7794	FBgn0038565
mir-984	FBgn0262282
CR45103	FBgn0266564
l(1)G0377	FBgn0028305
CG33267	FBgn0053267
CG12448	FBgn0028857
Su(tor)2-237	FBgn0014048
Rab8	FBgn0262518
CR45880	FBgn0267540
CG12078	FBgn0035426
pgant8	FBgn0036529
snRNA:K8	FBgn0016980
l(3)S068609	FBgn0028110
tRNA:Leu-AAG-1-2	FBgn0050234
CG34362	FBgn0085391
5SrRNA-Psi:CR33371	FBgn0053371
CR44197	FBgn0265086
CR43257	FBgn0262902
Mal-A8	FBgn0033297
l(3)X12	FBgn0016906
l(3)85Dg	FBgn0004740
aop	FBgn0000097
CG3548	FBgn0035033
CG30436	FBgn0050436
fs(1)A572	FBgn0000764
mcd1	FBgn0005678
Cda4	FBgn0052499
snmRNA:430:CR33740	FBgn0053740
Vps28	FBgn0021814
spn-B	FBgn0003480
clw	FBgn0000329
CG17770	FBgn0039374
CR45328	FBgn0266867
l(1)HM25	FBgn0010124
anon-70Da	FBgn0016772
l(2)k02113	FBgn0024672
l(3)67BDe	FBgn0002207
CG3344	FBgn0035154
CR44263	FBgn0265203
CG9030	FBgn0030599
E(Sev-CycE)D50	FBgn0041843
Trpm	FBgn0265194
CG6479	FBgn0036710
snoRNA:gcl-a	FBgn0263463
CG40125	FBgn0058125
B0462	FBgn0259652
l(3)S083311	FBgn0060652
l(2)SH0307	FBgn0065850
l(3)78Aa	FBgn0013565
Ppa	FBgn0020257
Sucb	FBgn0029118
CG6614	FBgn0032369
CG17666	FBgn0036311
CG31998	FBgn0051998
EP-149	FBgn0259427
l(1)Xi08	FBgn0001871
Fs(2)1	FBgn0024752
l(2)04207a	FBgn0028624
CG13170	FBgn0033703
eth-aS307	FBgn0041759
tefu	FBgn0045035
Ntf-2	FBgn0031145
l(3)neo53b	FBgn0014306
Ctr1C	FBgn0062411
l(2)34Ec	FBgn0028619
CG4462	FBgn0038752
CR45897	FBgn0267557
CrzR	FBgn0036278
CR45633	FBgn0267193
lectin-24Fb	FBgn0040100
HM530	FBgn0082342
CR44952	FBgn0266257
Gr64a	FBgn0045479
l(1)1P3	FBgn0013479
CG32686	FBgn0052686
l(3)95EFd	FBgn0067352
polyph	FBgn0033572
Muc11A	FBgn0052656
caz	FBgn0011571
CR46112	FBgn0267781
Menl-1	FBgn0029154
CG5604	FBgn0032208
Cyp4p1	FBgn0015037
CG42552	FBgn0260754
D1	FBgn0000412
Orf5C	FBgn0011819
nan	FBgn0036414
Mtch	FBgn0027786
l(2)k09931	FBgn0024645
Rst(2)DDT-EMS2	FBgn0067402
Indy-2	FBgn0260466
pog	FBgn0283685
port-b	FBgn0003128
TTLL3B	FBgn0031853
CG43755	FBgn0264086
cuc	FBgn0011235
jaft	FBgn0083086
Asap	FBgn0050372
CG43321	FBgn0263026
CG6763	FBgn0039069
CR44177	FBgn0265066
CR45654	FBgn0267214
su(pd)	FBgn0003572
CR44717	FBgn0265928
PIG-U	FBgn0032052
CG43902	FBgn0264503
l(3)S068601b	FBgn0060721
CR44655	FBgn0265866
2SrRNA-Psi:CR40677	FBgn0085765
Bsg99D	FBgn0004668
l(3)S135703	FBgn0084654
apb	FBgn0000101
l(1)56	FBgn0019765
snoRNA:Me28S-G2743	FBgn0086034
CG8248	FBgn0033347
l(3)S028113	FBgn0060986
CYLD	FBgn0032210
Ef1alpha100E	FBgn0000557
l(3)64Bh	FBgn0014297
fs(2)mel6	FBgn0004072
elav::Dvir\\elav	FBgn0015682
salr	FBgn0000287
anon-84Ac	FBgn0024705
CG17352	FBgn0035880
e(tu-K)	FBgn0005039
l(1)Q2	FBgn0011049
l(2)k09932	FBgn0021974
l(3)S010102a	FBgn0028213
l(3)84Dd	FBgn0004202
l(3)S084507b	FBgn0060636
CG17119	FBgn0039045
Gtd	FBgn0005383
l(2)SH0467	FBgn0065769
ey::eyg	FBgn0085005
stmC	FBgn0003532
E(spl)m6-BFM	FBgn0002632
Ip259	FBgn0025366
CG8526	FBgn0037759
fs(1)M13	FBgn0000831
tu(2)49k	FBgn0010179
emm	FBgn0011218
laf	FBgn0020280
M(1)5D6A	FBgn0261601
CG12909	FBgn0033507
I-3	FBgn0261624
Tengl1	FBgn0051682
CG7453	FBgn0030991
Tsp29Fb	FBgn0032075
CR45115	FBgn0266590
CG13046	FBgn0036595
CG5844	FBgn0038049
DIP-gamma	FBgn0039617
su(mbm)	FBgn0019651
BTBD9	FBgn0030228
l(2)44Ff	FBgn0041136
Mmp1	FBgn0035049
5SrRNA:CR33404	FBgn0053404
CG8746	FBgn0033330
CG7560	FBgn0036157
Cpr11B	FBgn0030398
Mes2	FBgn0037207
fs(2)A7	FBgn0000937
Gycalpha99B	FBgn0013972
l(1)G0417	FBgn0028280
sut3	FBgn0028561
Ir54a	FBgn0034272
LeuRS	FBgn0053123
CG34426	FBgn0085455
sktl	FBgn0016984
l(2)KC-A	FBgn0027165
EC2374	FBgn0261732
l(3)S051007a	FBgn0028133
Vps20	FBgn0034744
mir-252	FBgn0262323
CG6836	FBgn0036834
l(1)ESHS10	FBgn0001689
GSd231	FBgn0260360
CR45506	FBgn0267062
sky	FBgn0032901
l(2)SH0328	FBgn0065839
CG12332	FBgn0040567
fs(2)Z2-965	FBgn0265211
Nopp140	FBgn0037137
lolal	FBgn0022238
CG5321	FBgn0030575
modSP	FBgn0051217
CR44156	FBgn0265039
Muc55B	FBgn0034294
CG12490	FBgn0034782
l(3)S027318b	FBgn0060994
CG43813	FBgn0264361
CG16719	FBgn0036029
l(2)SH1580	FBgn0065406
CR46168	FBgn0267880
l(3)84Ef	FBgn0004208
CG12681	FBgn0029730
Jon65Aiv	FBgn0250815
IntS6	FBgn0261383
eg	FBgn0000560
l(2)SH0806	FBgn0065619
2L2769	FBgn0260092
CR44675	FBgn0265886
CG9386	FBgn0037708
CG8369	FBgn0040532
Dip-A	FBgn0000453
CR46035	FBgn0267702
CG13840	FBgn0039028
l(3)S049906c	FBgn0060834
mus202	FBgn0002888
CR44421	FBgn0265594
anon-56Cc	FBgn0023465
CG43328	FBgn0263033
CR45454	FBgn0267010
Est-10	FBgn0022405
CG1628	FBgn0030218
Est-E	FBgn0020931
nonA-l	FBgn0015520
CG31975	FBgn0051975
C371	FBgn0259330
Ote	FBgn0266420
anon-14Bg	FBgn0019903
CG13286	FBgn0040841
l(1)TK105	FBgn0005702
CG14507	FBgn0039655
CG15531	FBgn0039755
CG32641	FBgn0052641
l(3)S146604b	FBgn0060326
l(2)k09015a	FBgn0026641
mthl4	FBgn0034219
CG13356	FBgn0031207
CG15166	FBgn0032708
anon-92Ee	FBgn0019874
CG6852	FBgn0036820
CG7714	FBgn0038645
l(1)G0202	FBgn0027274
l(2)SH0714	FBgn0065660
CG3335	FBgn0036018
Ste12DOR	FBgn0044817
mir-4969	FBgn0263521
l(2)32Ae	FBgn0014244
fs(2)H47	FBgn0023082
CG34203	FBgn0085232
l(3)S125006b	FBgn0060438
l(3)00835	FBgn0010729
CG8837	FBgn0031520
l(3)ET6	FBgn0005215
gsb::prd	FBgn0043897
l(2)46Cc	FBgn0014982
2SrRNA:CR40455	FBgn0058455
CR45198	FBgn0266725
mir-1010	FBgn0262382
mcl(3)Z0589	FBgn0069171
Egfr::kek1	FBgn0067913
Tbf1	FBgn0020885
CG9346	FBgn0034572
eIF-2alpha	FBgn0261609
5SrRNA:CR33361	FBgn0053361
l(3)SG46	FBgn0002486
fs(1)186	FBgn0045056
l(2)DJ684	FBgn0069201
tny	FBgn0003729
l(1)XR49	FBgn0019730
l(2)51Fb	FBgn0027194
CG17329	FBgn0028896
CG7675	FBgn0038610
CG34213	FBgn0085242
Lpt	FBgn0263667
pkdt	FBgn0082165
Uba1	FBgn0023143
CG16800	FBgn0032462
CG43063	FBgn0262365
Su(dpp)YE12	FBgn0084432
boa	FBgn0260494
CG9510	FBgn0032076
Spl	FBgn0003476
Parp	FBgn0010247
l(3)S042239	FBgn0060922
2L2853	FBgn0260120
op	FBgn0003001
Cep135	FBgn0036480
olfS20	FBgn0024604
Dg	FBgn0034072
CG30101	FBgn0050101
l(2)k07332	FBgn0022088
CG33051	FBgn0053051
l(2)not	FBgn0011297
2L2676	FBgn0260091
rdo	FBgn0243486
CG17350	FBgn0032772
anon-96Fa	FBgn0014117
Spn77Bc	FBgn0036970
DyrkH	FBgn0041258
l(2)57Eb	FBgn0002105
CG11852	FBgn0039297
kuz	FBgn0259984
qjt	FBgn0036730
l(3)SH016	FBgn0065175
l(1)N4	FBgn0016857
CG2469	FBgn0035205
CG41580	FBgn0085706
l(3)j2B1	FBgn0011324
l(1)TK119	FBgn0005715
Abl	FBgn0000017
Girdin	FBgn0283724
Cog8	FBgn0086449
RhoGAP5A	FBgn0029778
CR44207	FBgn0265105
x8	FBgn0005377
l(2)42Ba	FBgn0043040
GstT2	FBgn0050005
l(2)45Bb	FBgn0015478
Spn42Dd	FBgn0028988
CG1738	FBgn0030291
His1:CG33804	FBgn0053804
CG1162	FBgn0026564
l(1)Q70	FBgn0011109
l(3)63Ab	FBgn0002189
Mst77F-PsiY2	FBgn0010244
CG32065	FBgn0052065
HIF	FBgn0020652
CG9977	FBgn0035371
Fer1	FBgn0037475
CG8677	FBgn0026577
hng3	FBgn0035160
anon-F1	FBgn0041165
l(1)Q43	FBgn0011085
DdbP3	FBgn0021584
beat-Vc	FBgn0038084
l(3)S000627b	FBgn0061139
CR44319	FBgn0265378
CG10214	FBgn0039115
TAHRE\\gag	FBgn0069342
fs(1)M48	FBgn0000855
l(1)20Cc	FBgn0023064
Pcd	FBgn0024841
CG11905	FBgn0036678
Myo95E	FBgn0039157
E(smoDN)1824	FBgn0083299
Gfat1	FBgn0027341
ovo::Bole\\ovo	FBgn0067670
Gr36a	FBgn0045487
Cchl	FBgn0038925
CG18095	FBgn0028872
CR45675	FBgn0267235
l(1)B6.1	FBgn0022321
CR45998	FBgn0267660
Grip128	FBgn0026433
l(3)S061207	FBgn0028119
l(3)ff17	FBgn0264530
l(3)ry107	FBgn0014312
Klp54D	FBgn0263076
CG1440	FBgn0030038
l(1)M60	FBgn0001778
diva	FBgn0017407
CR44662	FBgn0265873
l(3)psg20	FBgn0277427
l(3)73Am	FBgn0025501
GSd469	FBgn0260378
l(3)S066003	FBgn0060745
Lst	FBgn0034140
GSd207	FBgn0260301
anon-11c	FBgn0025346
EP-23	FBgn0259337
CG43998	FBgn0264740
